================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=and_a, v=1, w=0.2887705741972328, v*w=0.2887705741972328
f=kids, v=1, w=0.2802803604846029, v*w=0.2802803604846029
f=in_a, v=1, w=0.21910880076345068, v*w=0.21910880076345068
f=reads_a, v=1, w=0.19807314474582774, v*w=0.19807314474582774
f=window_., v=1, w=0.1818661065676086, v*w=0.1818661065676086
f=A_woman, v=1, w=0.16821192338671, v*w=0.16821192338671
f=talks_on, v=1, w=0.11673450310027596, v*w=0.11673450310027596
f=her_cellphone, v=1, w=0.11125751944791001, v*w=0.11125751944791001
f=a_woman, v=1, w=0.10950611503833728, v*w=0.10950611503833728
f=passes_by, v=1, w=0.09177054748712407, v*w=0.09177054748712407
f=on_her, v=1, w=0.0880755544680176, v*w=0.0880755544680176
f=purple_dress, v=1, w=0.08801543340385241, v*w=0.08801543340385241
f=dress, v=1, w=0.06531652855054261, v*w=0.06531652855054261
f=woman, v=2, w=0.03210373284279739, v*w=0.06420746568559478
f=passes, v=1, w=0.06324823063474955, v*w=0.06324823063474955
f=talks, v=1, w=0.06208760797385253, v*w=0.06208760797385253
f=cellphone_and, v=1, w=0.04846301331477601, v*w=0.04846301331477601
f=a_purple, v=1, w=0.03458520180941244, v*w=0.03458520180941244
f=cellphone, v=1, w=0.015743638383801793, v*w=0.015743638383801793
f=purple, v=1, w=0.005534854284666088, v*w=0.005534854284666088
f=two-story, v=1, w=0, v*w=0
f=dress_talks, v=1, w=0, v*w=0
f=book_as, v=1, w=0, v*w=0
f=a_two-story, v=1, w=0, v*w=0
f=two-story_bus, v=1, w=0, v*w=0
f=bus_passes, v=1, w=0, v*w=0
f=by_outside, v=1, w=0, v*w=0
f=their_window, v=1, w=0, v*w=0
f=woman_calls, v=1, w=0, v*w=0
f=calls_her, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=outside, v=1, w=-0.001485132525099549, v*w=-0.001485132525099549
f=woman_in, v=1, w=-0.017426125645422424, v*w=-0.017426125645422424
f=book, v=1, w=-0.03386010545777402, v*w=-0.03386010545777402
f=by, v=1, w=-0.03680490819868031, v*w=-0.03680490819868031
f=a_book, v=1, w=-0.045111694266903736, v*w=-0.045111694266903736
f=outside_their, v=1, w=-0.07075424370764494, v*w=-0.07075424370764494
f=calls, v=1, w=-0.07190542123357643, v*w=-0.07190542123357643
f=window, v=1, w=-0.07352891344840025, v*w=-0.07352891344840025
f=her_kids, v=1, w=-0.09054774493123754, v*w=-0.09054774493123754
f=man_reads, v=1, w=-0.13113825067423654, v*w=-0.13113825067423654
f=man, v=1, w=-0.14954275836407363, v*w=-0.14954275836407363
f=bus, v=1, w=-0.18598650303899097, v*w=-0.18598650303899097
f=as_a, v=1, w=-0.2267884494460413, v*w=-0.2267884494460413
f=on, v=1, w=-0.29811008903331604, v*w=-0.29811008903331604
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=their, v=1, w=-0.38541075982845596, v*w=-0.38541075982845596
f=and, v=1, w=-0.39896675096440504, v*w=-0.39896675096440504
f=as, v=1, w=-0.39907712565717507, v*w=-0.39907712565717507
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=her, v=2, w=-0.4323918021272653, v*w=-0.8647836042545306
f=word_mismatch, v=20, w=-0.04797307969310231, v*w=-0.9594615938620463
f=a, v=5, w=-0.40085934414878244, v*w=-2.004296720743912
================================================================================
P: A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .
H: An SUV and a man are going in opposite directions .
label=1, predicted=0, wrong
f=length_diff, v=11, w=0.2283268767017618, v*w=2.51159564371938
f=lexical_overlap, v=5, w=0.3830654707424352, v*w=1.915327353712176
f=a_man, v=2, w=0.6479779320430809, v*w=1.2959558640861617
f=and_a, v=1, w=0.2887705741972328, v*w=0.2887705741972328
f=walks_down, v=1, w=0.25957310747012363, v*w=0.25957310747012363
f=urban, v=1, w=0.2094853317546976, v*w=0.2094853317546976
f=construction_site, v=1, w=0.20073787105603458, v*w=0.20073787105603458
f=man_are, v=1, w=0.18246797410498164, v*w=0.18246797410498164
f=an_urban, v=1, w=0.1823466223691968, v*w=0.1823466223691968
f=the_street, v=1, w=0.17264210268259333, v*w=0.17264210268259333
f=SUV, v=2, w=0.07987263983473027, v*w=0.15974527966946053
f=the_other, v=1, w=0.13073472509759124, v*w=0.13073472509759124
f=man_walks, v=1, w=0.12283221225743317, v*w=0.12283221225743317
f=taxi, v=1, w=0.08080328062368324, v*w=0.08080328062368324
f=going_in, v=1, w=0.0559373088647697, v*w=0.0559373088647697
f=site, v=1, w=0.05054764643240958, v*w=0.05054764643240958
f=urban_construction, v=1, w=0.036315132310578375, v*w=0.036315132310578375
f=past_an, v=1, w=0.03213188694869353, v*w=0.03213188694869353
f=opposite, v=1, w=0.018729799335770538, v*w=0.018729799335770538
f=A_taxi, v=1, w=0, v*w=0
f=taxi_SUV, v=1, w=0, v*w=0
f=SUV_drives, v=1, w=0, v*w=0
f=site_,, v=1, w=0, v*w=0
f=other_direction, v=1, w=0, v*w=0
f=An_SUV, v=1, w=0, v*w=0
f=SUV_and, v=1, w=0, v*w=0
f=directions_., v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=in_opposite, v=1, w=-6.15119747541017e-05, v*w=-6.15119747541017e-05
f=opposite_directions, v=1, w=-6.15119747541017e-05, v*w=-6.15119747541017e-05
f=past, v=1, w=-0.004716392689182616, v*w=-0.004716392689182616
f=down, v=1, w=-0.004748635802573506, v*w=-0.004748635802573506
f=drives_past, v=1, w=-0.005050428611522141, v*w=-0.005050428611522141
f=direction_., v=1, w=-0.011247997838347167, v*w=-0.011247997838347167
f=in_the, v=1, w=-0.011687244813448, v*w=-0.011687244813448
f=down_the, v=1, w=-0.01975793099531421, v*w=-0.01975793099531421
f=direction, v=1, w=-0.02176359780561313, v*w=-0.02176359780561313
f=walks, v=1, w=-0.03440916381419663, v*w=-0.03440916381419663
f=drives, v=1, w=-0.05355234725745863, v*w=-0.05355234725745863
f=directions, v=1, w=-0.09283817154540414, v*w=-0.09283817154540414
f=street, v=1, w=-0.1740767558473877, v*w=-0.1740767558473877
f=An, v=1, w=-0.19759144718748645, v*w=-0.19759144718748645
f=street_in, v=1, w=-0.20238629564856708, v*w=-0.20238629564856708
f=other, v=1, w=-0.2103417813780885, v*w=-0.2103417813780885
f=as_a, v=1, w=-0.2267884494460413, v*w=-0.2267884494460413
f=man, v=2, w=-0.14954275836407363, v*w=-0.29908551672814726
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=are_going, v=1, w=-0.3164297241143863, v*w=-0.3164297241143863
f=an, v=1, w=-0.32472737342345664, v*w=-0.32472737342345664
f=and, v=1, w=-0.39896675096440504, v*w=-0.39896675096440504
f=as, v=1, w=-0.39907712565717507, v*w=-0.39907712565717507
f=,_as, v=1, w=-0.4050587323632817, v*w=-0.4050587323632817
f=construction, v=1, w=-0.5511119656950142, v*w=-0.5511119656950142
f=going, v=1, w=-0.565832068773732, v*w=-0.565832068773732
f=are, v=1, w=-0.6460762017236287, v*w=-0.6460762017236287
f=word_mismatch, v=16, w=-0.04797307969310231, v*w=-0.767569275089637
f=a, v=2, w=-0.40085934414878244, v*w=-0.8017186882975649
f=in, v=2, w=-0.4621736065762428, v*w=-0.9243472131524856
f=the, v=2, w=-0.5978066899968455, v*w=-1.195613379993691
================================================================================
P: The girl is paddling a rusty canoe in the water .
H: The girl is in the water .
label=1, predicted=1, correct
f=lexical_overlap, v=7, w=0.3830654707424352, v*w=2.6814582951970465
f=water_., v=2, w=0.5117491748602612, v*w=1.0234983497205223
f=length_diff, v=4, w=0.2283268767017618, v*w=0.9133075068070472
f=is_in, v=1, w=0.7654235095820207, v*w=0.7654235095820207
f=girl, v=2, w=0.08134442495824248, v*w=0.16268884991648497
f=the_water, v=2, w=0.0555697094563722, v*w=0.1111394189127444
f=paddling, v=1, w=0.0655492252024006, v*w=0.0655492252024006
f=is_paddling, v=1, w=0.019294586135846923, v*w=0.019294586135846923
f=canoe_in, v=1, w=0.012712407658622436, v*w=0.012712407658622436
f=paddling_a, v=1, w=0.00961509618075357, v*w=0.00961509618075357
f=rusty, v=1, w=0, v*w=0
f=a_rusty, v=1, w=0, v*w=0
f=rusty_canoe, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=canoe, v=1, w=-0.006502862606420202, v*w=-0.006502862606420202
f=in_the, v=2, w=-0.011687244813448, v*w=-0.023374489626896
f=The_girl, v=2, w=-0.0533152888252046, v*w=-0.1066305776504092
f=word_mismatch, v=4, w=-0.04797307969310231, v*w=-0.19189231877240925
f=girl_is, v=2, w=-0.11835442848624729, v*w=-0.23670885697249458
f=water, v=2, w=-0.12098882409405608, v*w=-0.24197764818811215
f=a, v=1, w=-0.40085934414878244, v*w=-0.40085934414878244
f=is, v=2, w=-0.45493996500424116, v*w=-0.9098799300084823
f=in, v=2, w=-0.4621736065762428, v*w=-0.9243472131524856
f=The, v=2, w=-0.5582273554905617, v*w=-1.1164547109811234
f=the, v=2, w=-0.5978066899968455, v*w=-1.195613379993691
================================================================================
P: Two men in shorts hang out at the beach .
H: The two men are outside .
label=1, predicted=0, wrong
f=are_outside, v=1, w=1.0231479741242535, v*w=1.0231479741242535
f=length_diff, v=4, w=0.2283268767017618, v*w=0.9133075068070472
f=lexical_overlap, v=2, w=0.3830654707424352, v*w=0.7661309414848704
f=outside_., v=1, w=0.6659319901243318, v*w=0.6659319901243318
f=beach, v=1, w=0.29907113547279823, v*w=0.29907113547279823
f=two, v=1, w=0.22081561698439575, v*w=0.22081561698439575
f=in_shorts, v=1, w=0.15435653045619535, v*w=0.15435653045619535
f=men_are, v=1, w=0.1517472250324531, v*w=0.1517472250324531
f=at_the, v=1, w=0.06979702968023362, v*w=0.06979702968023362
f=Two_men, v=1, w=0.06374659468783658, v*w=0.06374659468783658
f=hang, v=1, w=0.02642225236222193, v*w=0.02642225236222193
f=men_in, v=1, w=0.005006364394917534, v*w=0.005006364394917534
f=shorts_hang, v=1, w=0, v*w=0
f=hang_out, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=outside, v=1, w=-0.001485132525099549, v*w=-0.001485132525099549
f=the_beach, v=1, w=-0.030001255729664698, v*w=-0.030001255729664698
f=out_at, v=1, w=-0.042066837221540226, v*w=-0.042066837221540226
f=Two, v=1, w=-0.14272615647644044, v*w=-0.14272615647644044
f=beach_., v=1, w=-0.188444831920233, v*w=-0.188444831920233
f=The_two, v=1, w=-0.21132747147314673, v*w=-0.21132747147314673
f=two_men, v=1, w=-0.22321094862998256, v*w=-0.22321094862998256
f=out, v=1, w=-0.22690062240968475, v*w=-0.22690062240968475
f=at, v=1, w=-0.26136614004677544, v*w=-0.26136614004677544
f=word_mismatch, v=8, w=-0.04797307969310231, v*w=-0.3837846375448185
f=men, v=2, w=-0.21430049750605148, v*w=-0.42860099501210297
f=shorts, v=1, w=-0.44978194559412915, v*w=-0.44978194559412915
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=The, v=1, w=-0.5582273554905617, v*w=-0.5582273554905617
f=the, v=1, w=-0.5978066899968455, v*w=-0.5978066899968455
f=are, v=1, w=-0.6460762017236287, v*w=-0.6460762017236287
================================================================================
P: A man in a black shirt sits next to an old woman in a pink shirt on a train .
H: A man is sitting next to a lady .
label=1, predicted=1, correct
f=length_diff, v=11, w=0.2283268767017618, v*w=2.51159564371938
f=lexical_overlap, v=6, w=0.3830654707424352, v*w=2.298392824454611
f=A_man, v=2, w=0.324577417131331, v*w=0.649154834262662
f=is_sitting, v=1, w=0.6478721675661036, v*w=0.6478721675661036
f=next_to, v=2, w=0.25548951210531956, v*w=0.5109790242106391
f=a_lady, v=1, w=0.4444763653892699, v*w=0.4444763653892699
f=in_a, v=2, w=0.21910880076345068, v*w=0.43821760152690137
f=an_old, v=1, w=0.31642198227122825, v*w=0.31642198227122825
f=black_shirt, v=1, w=0.31401709877762446, v*w=0.31401709877762446
f=man_in, v=1, w=0.2580405470472171, v*w=0.2580405470472171
f=sits, v=1, w=0.2199237053287189, v*w=0.2199237053287189
f=train, v=1, w=0.18952532321036, v*w=0.18952532321036
f=on_a, v=1, w=0.1768242450195646, v*w=0.1768242450195646
f=next, v=2, w=0.06682096910511319, v*w=0.13364193821022638
f=shirt_on, v=1, w=0.11046344060002997, v*w=0.11046344060002997
f=a_train, v=1, w=0.09936487199687642, v*w=0.09936487199687642
f=old_woman, v=1, w=0.09621806238581011, v*w=0.09621806238581011
f=to_a, v=1, w=0.09392205713697577, v*w=0.09392205713697577
f=man_is, v=1, w=0.07446248811904224, v*w=0.07446248811904224
f=to_an, v=1, w=0.05027804381638221, v*w=0.05027804381638221
f=pink_shirt, v=1, w=0.04937335236656198, v*w=0.04937335236656198
f=train_., v=1, w=0.0465612060788722, v*w=0.0465612060788722
f=woman, v=1, w=0.03210373284279739, v*w=0.03210373284279739
f=sits_next, v=1, w=0.027429308767012738, v*w=0.027429308767012738
f=sitting, v=1, w=0.010350184963124877, v*w=0.010350184963124877
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=lady_., v=1, w=-0.008572789678354906, v*w=-0.008572789678354906
f=woman_in, v=1, w=-0.017426125645422424, v*w=-0.017426125645422424
f=shirt_sits, v=1, w=-0.06479192875656845, v*w=-0.06479192875656845
f=black, v=1, w=-0.0813984155623056, v*w=-0.0813984155623056
f=a_pink, v=1, w=-0.08907548188530008, v*w=-0.08907548188530008
f=sitting_next, v=1, w=-0.12166931439887822, v*w=-0.12166931439887822
f=lady, v=1, w=-0.13726793412950955, v*w=-0.13726793412950955
f=a_black, v=1, w=-0.15698194960484346, v*w=-0.15698194960484346
f=pink, v=1, w=-0.1590852931955731, v*w=-0.1590852931955731
f=shirt, v=2, w=-0.13738619608867372, v*w=-0.27477239217734745
f=on, v=1, w=-0.29811008903331604, v*w=-0.29811008903331604
f=man, v=2, w=-0.14954275836407363, v*w=-0.29908551672814726
f=old, v=1, w=-0.32302679446596455, v*w=-0.32302679446596455
f=an, v=1, w=-0.32472737342345664, v*w=-0.32472737342345664
f=is, v=1, w=-0.45493996500424116, v*w=-0.45493996500424116
f=word_mismatch, v=10, w=-0.04797307969310231, v*w=-0.47973079693102316
f=A, v=2, w=-0.3083650202568235, v*w=-0.616730040513647
f=in, v=2, w=-0.4621736065762428, v*w=-0.9243472131524856
f=to, v=2, w=-0.8016492569411924, v*w=-1.6032985138823848
f=a, v=4, w=-0.40085934414878244, v*w=-1.6034373765951297
================================================================================
P: A person performing a snowboarding trick on a high mountain .
H: A man is beating his friend in a snowboarding race .
label=0, predicted=0, correct
f=lexical_overlap, v=4, w=0.3830654707424352, v*w=1.5322618829697408
f=A_man, v=1, w=0.324577417131331, v*w=0.324577417131331
f=A_person, v=1, w=0.2984734473390282, v*w=0.2984734473390282
f=person, v=1, w=0.26421986580315804, v*w=0.26421986580315804
f=in_a, v=1, w=0.21910880076345068, v*w=0.21910880076345068
f=performing_a, v=1, w=0.19045403426004492, v*w=0.19045403426004492
f=on_a, v=1, w=0.1768242450195646, v*w=0.1768242450195646
f=trick, v=1, w=0.16821084057589167, v*w=0.16821084057589167
f=snowboarding, v=2, w=0.0519555188814388, v*w=0.1039110377628776
f=man_is, v=1, w=0.07446248811904224, v*w=0.07446248811904224
f=friend_in, v=1, w=0.00259924205482507, v*w=0.00259924205482507
f=snowboarding_trick, v=1, w=0, v*w=0
f=high_mountain, v=1, w=0, v*w=0
f=beating_his, v=1, w=0, v*w=0
f=snowboarding_race, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=length_diff, v=0, w=0.2283268767017618, v*w=0.0
f=beating, v=1, w=-0.03813866201136967, v*w=-0.03813866201136967
f=performing, v=1, w=-0.04111153542765278, v*w=-0.04111153542765278
f=mountain, v=1, w=-0.04482774502820655, v*w=-0.04482774502820655
f=a_high, v=1, w=-0.05476505807629067, v*w=-0.05476505807629067
f=trick_on, v=1, w=-0.058115738242096295, v*w=-0.058115738242096295
f=mountain_., v=1, w=-0.07528871656091841, v*w=-0.07528871656091841
f=person_performing, v=1, w=-0.07768363755640692, v*w=-0.07768363755640692
f=is_beating, v=1, w=-0.10524676299036846, v*w=-0.10524676299036846
f=a_snowboarding, v=2, w=-0.06182708251341899, v*w=-0.12365416502683799
f=his_friend, v=1, w=-0.14638348705689241, v*w=-0.14638348705689241
f=man, v=1, w=-0.14954275836407363, v*w=-0.14954275836407363
f=race_., v=1, w=-0.19664348000341092, v*w=-0.19664348000341092
f=race, v=1, w=-0.2010355073546591, v*w=-0.2010355073546591
f=word_mismatch, v=6, w=-0.04797307969310231, v*w=-0.28783847815861385
f=on, v=1, w=-0.29811008903331604, v*w=-0.29811008903331604
f=friend, v=1, w=-0.4118263656921193, v*w=-0.4118263656921193
f=is, v=1, w=-0.45493996500424116, v*w=-0.45493996500424116
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=high, v=1, w=-0.5156079412596383, v*w=-0.5156079412596383
f=A, v=2, w=-0.3083650202568235, v*w=-0.616730040513647
f=his, v=1, w=-0.6983216445175804, v*w=-0.6983216445175804
f=a, v=3, w=-0.40085934414878244, v*w=-1.2025780324463473
================================================================================
P: A biker wearing a white t-shirt is jumping over dirt hills .
H: A person jumps over hills with his bike .
label=1, predicted=0, wrong
f=lexical_overlap, v=4, w=0.3830654707424352, v*w=1.5322618829697408
f=length_diff, v=3, w=0.2283268767017618, v*w=0.6849806301052854
f=A_person, v=1, w=0.2984734473390282, v*w=0.2984734473390282
f=wearing_a, v=1, w=0.28866640420799555, v*w=0.28866640420799555
f=person, v=1, w=0.26421986580315804, v*w=0.26421986580315804
f=bike_., v=1, w=0.21776716670714003, v*w=0.21776716670714003
f=jumping_over, v=1, w=0.1917379595852282, v*w=0.1917379595852282
f=jumps, v=1, w=0.1762552695926529, v*w=0.1762552695926529
f=t-shirt_is, v=1, w=0.1147520728020418, v*w=0.1147520728020418
f=bike, v=1, w=0.054349276036762845, v*w=0.054349276036762845
f=jumping, v=1, w=0.04827516845925421, v*w=0.04827516845925421
f=dirt, v=1, w=0.04804540936981122, v*w=0.04804540936981122
f=is_jumping, v=1, w=0.0477496719025322, v*w=0.0477496719025322
f=jumps_over, v=1, w=0.043932907414914714, v*w=0.043932907414914714
f=biker_wearing, v=1, w=0, v*w=0
f=over_dirt, v=1, w=0, v*w=0
f=dirt_hills, v=1, w=0, v*w=0
f=person_jumps, v=1, w=0, v*w=0
f=over_hills, v=1, w=0, v*w=0
f=hills_with, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=hills_., v=1, w=-0.00046271314169645797, v*w=-0.00046271314169645797
f=hills, v=2, w=-0.019023268254621615, v*w=-0.03804653650924323
f=white_t-shirt, v=1, w=-0.03876083743491764, v*w=-0.03876083743491764
f=his_bike, v=1, w=-0.06356718680302983, v*w=-0.06356718680302983
f=a_white, v=1, w=-0.08146376728663939, v*w=-0.08146376728663939
f=white, v=1, w=-0.10683987445252473, v*w=-0.10683987445252473
f=A_biker, v=1, w=-0.12676477391582358, v*w=-0.12676477391582358
f=with_his, v=1, w=-0.1565605205412721, v*w=-0.1565605205412721
f=wearing, v=1, w=-0.30951804432226004, v*w=-0.30951804432226004
f=with, v=1, w=-0.37578220266504436, v*w=-0.37578220266504436
f=word_mismatch, v=8, w=-0.04797307969310231, v*w=-0.3837846375448185
f=a, v=1, w=-0.40085934414878244, v*w=-0.40085934414878244
f=t-shirt, v=1, w=-0.4057735252290478, v*w=-0.4057735252290478
f=is, v=1, w=-0.45493996500424116, v*w=-0.45493996500424116
f=biker, v=1, w=-0.5094017709590108, v*w=-0.5094017709590108
f=A, v=2, w=-0.3083650202568235, v*w=-0.616730040513647
f=his, v=1, w=-0.6983216445175804, v*w=-0.6983216445175804
f=over, v=2, w=-0.50241789362678, v*w=-1.00483578725356
================================================================================
P: A float depicting religious imagery .
H: A float with icons .
label=1, predicted=1, correct
f=lexical_overlap, v=3, w=0.3830654707424352, v*w=1.1491964122273055
f=length_diff, v=1, w=0.2283268767017618, v*w=0.2283268767017618
f=imagery, v=1, w=0.0019268389310856603, v*w=0.0019268389310856603
f=imagery_., v=1, w=0.0011094285139103901, v*w=0.0011094285139103901
f=icons, v=1, w=0, v*w=0
f=A_float, v=2, w=0, v*w=0
f=float_depicting, v=1, w=0, v*w=0
f=depicting_religious, v=1, w=0, v*w=0
f=religious_imagery, v=1, w=0, v*w=0
f=float_with, v=1, w=0, v*w=0
f=with_icons, v=1, w=0, v*w=0
f=icons_., v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=religious, v=1, w=-0.03136243351932849, v*w=-0.03136243351932849
f=depicting, v=1, w=-0.06507264388236739, v*w=-0.06507264388236739
f=float, v=2, w=-0.061680893025206684, v*w=-0.12336178605041337
f=word_mismatch, v=3, w=-0.04797307969310231, v*w=-0.14391923907930693
f=with, v=1, w=-0.37578220266504436, v*w=-0.37578220266504436
f=A, v=2, w=-0.3083650202568235, v*w=-0.616730040513647
================================================================================
P: A man in yellow , white , and blue bicycle clothing and helmet grimaces as he rides his bicycle .
H: A man is riding a bicycle .
label=1, predicted=1, correct
f=length_diff, v=13, w=0.2283268767017618, v*w=2.9682493971229036
f=lexical_overlap, v=4, w=0.3830654707424352, v*w=1.5322618829697408
f=A_man, v=2, w=0.324577417131331, v*w=0.649154834262662
f=a_bicycle, v=1, w=0.46841772372752044, v*w=0.46841772372752044
f=rides_his, v=1, w=0.3088531984483092, v*w=0.3088531984483092
f=clothing, v=1, w=0.26442814823259, v*w=0.26442814823259
f=man_in, v=1, w=0.2580405470472171, v*w=0.2580405470472171
f=bicycle_., v=2, w=0.11421049679552447, v*w=0.22842099359104895
f=,_and, v=1, w=0.17499667000079155, v*w=0.17499667000079155
f=clothing_and, v=1, w=0.13663957403642138, v*w=0.13663957403642138
f=and_blue, v=1, w=0.07642540878649778, v*w=0.07642540878649778
f=rides, v=1, w=0.07598147841021857, v*w=0.07598147841021857
f=man_is, v=1, w=0.07446248811904224, v*w=0.07446248811904224
f=yellow_,, v=1, w=0.06516477622152345, v*w=0.06516477622152345
f=yellow, v=1, w=0.06432636174453178, v*w=0.06432636174453178
f=as_he, v=1, w=0.031999930139831156, v*w=0.031999930139831156
f=is_riding, v=1, w=0.03166282096574001, v*w=0.03166282096574001
f=riding_a, v=1, w=0.017357952831294633, v*w=0.017357952831294633
f=helmet, v=1, w=0.006475249993803247, v*w=0.006475249993803247
f=grimaces, v=1, w=0, v*w=0
f=blue_bicycle, v=1, w=0, v*w=0
f=bicycle_clothing, v=1, w=0, v*w=0
f=helmet_grimaces, v=1, w=0, v*w=0
f=grimaces_as, v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=,_white, v=1, w=-0.011470282056866154, v*w=-0.011470282056866154
f=white_,, v=1, w=-0.048498393313843445, v*w=-0.048498393313843445
f=riding, v=1, w=-0.05798092348603508, v*w=-0.05798092348603508
f=he_rides, v=1, w=-0.08511710298811012, v*w=-0.08511710298811012
f=white, v=1, w=-0.10683987445252473, v*w=-0.10683987445252473
f=and_helmet, v=1, w=-0.13623024050648788, v*w=-0.13623024050648788
f=blue, v=1, w=-0.1464004062951875, v*w=-0.1464004062951875
f=his_bicycle, v=1, w=-0.2988137013078042, v*w=-0.2988137013078042
f=man, v=2, w=-0.14954275836407363, v*w=-0.29908551672814726
f=in_yellow, v=1, w=-0.31185831779245154, v*w=-0.31185831779245154
f=as, v=1, w=-0.39907712565717507, v*w=-0.39907712565717507
f=a, v=1, w=-0.40085934414878244, v*w=-0.40085934414878244
f=bicycle, v=3, w=-0.14174222260566055, v*w=-0.42522666781698165
f=he, v=1, w=-0.4490283131719311, v*w=-0.4490283131719311
f=is, v=1, w=-0.45493996500424116, v*w=-0.45493996500424116
f=in, v=1, w=-0.4621736065762428, v*w=-0.4621736065762428
f=A, v=2, w=-0.3083650202568235, v*w=-0.616730040513647
f=word_mismatch, v=13, w=-0.04797307969310231, v*w=-0.6236500360103301
f=his, v=1, w=-0.6983216445175804, v*w=-0.6983216445175804
f=and, v=2, w=-0.39896675096440504, v*w=-0.7979335019288101
================================================================================
P: A group of girls ride an ATV .
H: Girls ride ATVs .
label=1, predicted=1, correct
f=length_diff, v=4, w=0.2283268767017618, v*w=0.9133075068070472
f=lexical_overlap, v=2, w=0.3830654707424352, v*w=0.7661309414848704
f=ride, v=2, w=0.1767141147611563, v*w=0.3534282295223126
f=of_girls, v=1, w=0.27859590686293034, v*w=0.27859590686293034
f=ATV, v=1, w=0.1953094740658979, v*w=0.1953094740658979
f=group, v=1, w=0.05546798434879638, v*w=0.05546798434879638
f=an_ATV, v=1, w=0.04700933389126931, v*w=0.04700933389126931
f=Girls, v=1, w=0.03335292277390811, v*w=0.03335292277390811
f=girls_ride, v=1, w=0.017373804570838106, v*w=0.017373804570838106
f=ATVs, v=1, w=0, v*w=0
f=ride_an, v=1, w=0, v*w=0
f=ATV_., v=1, w=0, v*w=0
f=Girls_ride, v=1, w=0, v*w=0
f=ride_ATVs, v=1, w=0, v*w=0
f=ATVs_., v=1, w=0, v*w=0
f=negation_count, v=0, w=0.06271304083841969, v*w=0.0
f=girls, v=1, w=-0.002851093110171653, v*w=-0.002851093110171653
f=group_of, v=1, w=-0.07273928704859826, v*w=-0.07273928704859826
f=A_group, v=1, w=-0.07291392174916575, v*w=-0.07291392174916575
f=word_mismatch, v=6, w=-0.04797307969310231, v*w=-0.28783847815861385
f=A, v=1, w=-0.3083650202568235, v*w=-0.3083650202568235
f=an, v=1, w=-0.32472737342345664, v*w=-0.32472737342345664
f=of, v=1, w=-0.37790219820508486, v*w=-0.37790219820508486
================================================================================
P: A schoolgirl wearing a white dress , blue-striped knee socks , a blue tie , and braids , smiles in front of a line of her classmates .
H: A line of schoolchildren preparing to board a bus after their field trip .
label=0, predicted=0, correct
f=length_diff, v=14, w=0.2283268767017618, v*w=3.196576273824665
f=lexical_overlap, v=5, w=0.3830654707424352, v*w=1.915327353712176
f=smiles, v=1, w=0.42960859217431135, v*w=0.42960859217431135
f=wearing_a, v=1, w=0.28866640420799555, v*w=0.28866640420799555
f=front_of, v=1, w=0.26027869344495036, v*w=0.26027869344495036
f=of_a, v=1, w=0.2468873764455795, v*w=0.2468873764455795
f=in_front, v=1, w=0.2025982840106905, v*w=0.2025982840106905
f=,_and, v=1, w=0.17499667000079155, v*w=0.17499667000079155
f=dress_,, v=1, w=0.17113553052348054, v*w=0.17113553052348054
f=a_line, v=1, w=0.14299420289134904, v*w=0.14299420289134904
f=,_smiles, v=1, w=0.10501683966074572, v*w=0.10501683966074572
f=a_blue, v=1, w=0.08080889361048715, v*w=0.08080889361048715
f=dress, v=1, w=0.06531652855054261, v*w=0.06531652855054261
f=board_a, v=1, w=0.06341505719121486, v*w=0.06341505719121486
f=her_classmates, v=1, w=0.06280493196699886, v*w=0.06280493196699886
f=tie, v=1, w=0.05980168953767198, v*w=0.05980168953767198
f=to_board, v=1, w=0.04962631569163219, v*w=0.04962631569163219
f=classmates, v=1, w=0.013275555818889898, v*w=0.013275555818889898
f=blue-striped, v=1, w=0, v*w=0
f=braids, v=1, w=0, v*w=0
f=schoolchildren, v=1, w=0, v*w=0
f=A_schoolgirl, v=1, w=0, v*w=0
f=schoolgirl_wearing, v=1, w=0, v*w=0
f=,_blue-striped, v=1, w=0, v*w=0
f=blue-striped_knee, v=1, w=0, v*w=0
f=knee_socks, v=1, w=0, v*w=0
